// Sample: , Map: , Thickness:(1.0):, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
13, 0 ,2.0,2.0,2.0,71.33751759766864,293.2711418454236,46.945119285022834,31.587385391684208,25.004513326549787,25.09595746617393,143.0,124.0,105.0,-0.9875132678207045,0.14425943209434997,-0.06329898995947242,31.78038742243068,-0.05421459960176769,-0.6884672261283497,-0.7232383118565799,27.53099497179361,-0.14791322817143077,-0.7107756993587714,0.6876914876112363,22.019241014796258,148.27873046693287,144.56591221673074,110.69977536197999,45.39059289602901,13.874067906421605,791298.0,2372965.912152788, 0.0, 0.0,0.0,NaN, 162.9066656909879,162.9066656909879,0.0, 997.7629158827848, -64.61753441895578, 43.53475350211453, -64.61753441895578, 625.225686697606, 131.19253413619552, 43.53475350211453, 131.19253413619552, 629.8070811440111, 256.12904620004093, 115.91700443506885, 24.0, 0.0
14, 0 ,2.0,2.0,2.0,325.6045916241275,296.5754766121471,75.32246848630065,20.320555627260767,20.1152905980677,20.966793365085422,111.0,93.0,93.0,-0.5742068011936038,0.34590249978816817,0.7420498703613561,21.76118802492083,0.3014586676525662,-0.7533567038549169,0.5844453340167873,20.093275270881204,-0.7611893464573377,-0.5592898509692007,-0.32830723635445586,19.49018485012741,101.74093621781162,94.47570708223957,101.89726588765325,34.234645938878586,9.22742316678204,383960.0,979441.2975105387, 0.0, 0.0,0.0,NaN, 187.97143058764422,187.97143058764422,0.0, 412.92498100059925, -24.028642476475028, -35.71098424820579, -24.028642476475028, 404.62491584471076, 13.535085329896464, -35.71098424820579, 13.535085329896464, 439.60642401419005, 320.73041723096156, 88.74919937392309, 16.0, 0.0
15, 0 ,2.0,2.0,2.0,355.4806834065318,263.0945052657968,199.9428578861604,27.030649799854324,19.847913824549813,20.003368761339498,152.0,89.0,98.0,0.9519880318624759,-0.300671754762224,0.057578494933566995,27.728050877812805,0.11213830017745492,0.1674834217606038,-0.9794765464617674,20.015119612889205,-0.28485748862180277,-0.9389067042702196,-0.19315903254187844,18.848890020115654,157.3496351977602,97.15948446622033,92.52165435372711,37.056724934797096,12.30973641869944,422823.0,1414471.9248646323, 0.0, 0.0,0.0,NaN, 272.69290123327875,272.69290123327875,0.0, 730.6560286023646, -117.52566115902276, 17.690837044780675, -117.52566115902276, 393.9396831867556, -14.59499993678961, 17.690837044780675, -14.59499993678961, 400.1347618021329, 315.2202836647959, 91.51035486671068, 15.0, 0.0
16, 0 ,2.0,2.0,2.0,234.08014753271945,394.64552158644466,120.15971012458176,24.180098550468937,21.441908357763047,22.293092077933984,134.0,90.0,96.0,0.8622738420140347,-0.26205650354260523,0.4333707538925301,25.33466182688124,-0.17263302452876236,0.6523750370245248,0.737973339565395,22.134794898207616,0.4761109746901526,0.7111492107977584,-0.5172863228051928,20.239079012153443,141.13378296716738,108.446757294218,102.91248154315969,37.599468437445324,11.300200332256475,470133.0,1575127.1002297974, 0.0, 0.0,0.0,NaN, 234.53353916965136,234.53353916965136,0.0, 584.6771659103899, -61.521297703791454, 76.54496519603009, -61.521297703791454, 459.7554340227088, 12.299923663477642, 76.54496519603009, 12.299923663477642, 496.98195439524295, 291.1148611137699, 105.7346663445228, 15.0, 0.0
17, 0 ,2.0,2.0,2.0,135.50546486982378,77.08432454947118,370.81376472325036,21.023587493305058,21.894848016296677,18.573206817785348,114.0,101.0,88.0,0.004913555777429996,-0.9971311629119967,0.07553344239071874,21.911885775006716,0.940725086349599,0.03022576602485107,0.3378205366474197,21.3680848181453,-0.33913444071954973,0.06939630406571302,0.9381748153195418,18.155269902406275,103.25198661077968,107.12935941402395,86.64081436269208,34.31623233700997,9.419968706633849,379332.0,958361.7020134106, 0.0, 0.0,0.0,NaN, 207.6626765941414,207.6626765941414,0.0, 441.9912310886529, 2.873149892993307, 40.41001962852711, 2.873149892993307, 479.3843696567306, -10.039853985962303, 40.41001962852711, -10.039853985962303, 344.9640114962281, 317.4572880748263, 91.37991241930031, 15.0, 0.0
18, 0 ,2.0,2.0,2.0,325.39221885733514,173.67064421715585,113.17048549606689,19.760353646865013,18.862567703238753,19.907783924614257,99.0,88.0,90.0,-0.8177363559475774,0.5593347016481282,-0.13583793171929745,20.788228369293183,-0.07126364612659349,-0.33256424746068647,-0.9403842374538458,20.140353867511767,-0.5711643764296936,-0.7593060732294367,0.3118101060815259,17.45862551162275,109.42577634598025,93.91995626087353,94.43319671931579,32.53889313010047,9.154689031589763,315018.0,970514.9051571896, 0.0, 0.0,0.0,NaN, 233.09712664548172,233.09712664548172,0.0, 390.47157624917145, -55.85730376326121, 20.902797599019834, -55.85730376326121, 355.7964603592657, 21.85779981357328, 20.902797599019834, 21.85779981357328, 396.31986078912985, 326.7396085303062, 73.69576312754148, 11.0, 0.0
19, 0 ,2.0,2.0,2.0,142.2004814836514,357.073894957737,305.7932336633769,24.891001444332545,24.149496720437647,22.425722508159634,129.0,112.0,105.0,-0.574787991657699,0.7049541744273182,0.4155218124281896,26.17610245075151,0.8075605678738165,0.4066642302348727,0.42716522922962435,24.319067901793517,0.132154053518717,0.5810884750233628,-0.8030389096012691,20.713951135427752,128.2790721749675,127.72309728983282,108.94442522106704,39.69373225643975,11.405296765988794,563259.0,1784967.2969900684, 0.0, 0.0,0.0,NaN, 258.3069385504389,258.3069385504389,0.0, 619.5619529017649, -50.46336665781231, -5.166751574265647, -50.46336665781231, 583.1981918504287, 103.22597247174484, -5.166751574265647, 103.22597247174484, 502.9130300129777, 301.6854892687023, 92.4840041925957, 20.0, 0.0
20, 0 ,2.0,2.0,2.0,345.468118882838,20.040799830000708,400.54826438223176,21.043295002144372,13.18596959813036,21.565632584330963,112.0,54.0,97.0,0.6527498586236261,-3.452105616603765E-4,0.7575734306959984,23.001555698969675,-0.7272602792003771,0.2797609926699249,0.6267585446387851,19.946009192884855,0.21215585866109304,0.9600696161268755,-0.1823628904842427,12.443943115307059,107.1818843322099,105.74500184289153,65.01544791495475,31.377324512475376,9.860531121169464,240001.0,736881.7420286163, 0.0, 0.0,0.0,NaN, 139.41045726476756,139.41045726476756,0.0, 442.82026454727435, -49.52315957058869, 74.29435312736545, -49.52315957058869, 173.8697942428181, 42.508903692771575, 74.29435312736545, 42.508903692771575, 465.0765087623574, 311.48573964275147, 100.97857117502897, 7.0, 0.0
21, 0 ,2.0,2.0,2.0,354.70952314987477,174.45084341200916,35.39075496829879,28.009148520891628,19.67313257738758,21.894670348868964,144.0,93.0,84.0,-0.9212884651271316,-0.21509140758103149,0.32398032410704297,29.145763604126135,-0.3400289349184883,0.0412973408770131,-0.9395077716840271,20.903960311774174,-0.188700523162742,0.9757203574904537,0.11118406602031197,19.091098532421928,151.20347265576447,102.27202642664253,92.37602229008158,38.630299657804244,12.594486266044328,469225.0,1428492.2363735833, 0.0, 0.0,0.0,NaN, 194.06035173653387,194.06035173653387,0.0, 784.5124008653657, 95.09114285516202, -121.60151843694567, 95.09114285516202, 387.0321454074685, -36.610947927495644, -121.60151843694567, -36.610947927495644, 479.37658968564176, 302.291252597368, 95.68071776390954, 12.0, 0.0
22, 0 ,2.0,2.0,2.0,391.07606292099524,19.394729090159267,116.17324090257458,24.698290578355834,12.331036761453275,20.48662221153426,99.0,50.0,89.0,-0.993736498654584,-0.11171645714140475,0.0026841098153368385,24.816415843440133,0.01212773562167204,-0.08393870065783493,0.9963971158933398,20.535193064950608,0.11108865500319529,-0.9901887333915934,-0.0847678181501329,12.008874435766225,103.71916247635602,91.71613061989258,56.47930573899558,32.59218773085615,10.932109296004217,254605.0,537271.8356051169, 5.6843418860808015E-14, 0.0,0.0,6.416130109262505, 124.6881952886264,124.6881952886264,0.0, 610.0055574929005, 52.07761307295714, 2.095084608239715, 52.07761307295714, 152.05446761231207, -23.348911885896364, 2.095084608239715, -23.348911885896364, 419.701689638129, 305.52863062390765, 91.99018360095936, 8.0, 0.0
